Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
a hazy opacity is present in the right lung which may represent aspiration pleural effusion or hemorrhage,,,,,1.0,,,,,,-1.0,,,
retrocardiac opacity at the left base is unchanged,,,,,1.0,,,,,,,,,
moderate cardiomegaly is stable,,,1.0,,,,,,,,,,,
slight prominence of the pulmonary vasculature with cephalization and enlarged pulmonary arteries are consistent with mild pulmonary edema,,,,,,1.0,,,,,,,,
tracheostomy tube is in place,,,,,,,,,,,,,,1.0
there are no displaced rib fractures  .,1.0,,,,,,,,,,,,0.0,
bedside upright ap radiograph of the chest demonstrates little interval change when compared to prior study performed 24 hours ago,1.0,,,,,,,,,,,,,
there is minimal stable enlargement of the cardiomediastinal contours consistent with mild chronic heart failure,,1.0,-1.0,,,1.0,,,,,,,,
persistent obscuration of the pulmonary vascular markings in the right lung base is consistent with trace pulmonary edema,,,,,,1.0,,,,,,,,
bibasilar atelectasis is still present,,,,,,,,,1.0,,,,,
the lungs are otherwise clear,1.0,,,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
a left internal jugular central venous catheter an endotracheal tube and an orogastric tube are unchanged and appropriately positioned,1.0,,,,,,,,,,,,,1.0
the chronic findings of atherosclerotic calcification of the aortic arch and bilateral glenohumeral joint degenerative changes are once again noted  .,,,,,,,,,,,,,,
single portable view of the chest is compared to previous exam from,1.0,,,,,,,,,,,,,
tracheostomy tube is again noted,,,,,,,,,,,,,,1.0
left picc tip is not clearly delineated on the current exam,1.0,,,,,,,,,,,,,1.0
again there is mild pulmonary vascular congestion,,,,,,-1.0,,,,,,,,
streaky opacities at the lung bases suggestive of atelectasis however infection cannot be excluded,,,,,-1.0,,,-1.0,1.0,,,,,
cardiomediastinal silhouette is stable as are the osseous and soft tissue structures  .,,-1.0,,,,,,,,,,,,
there are no old films available for comparison,1.0,,,,,,,,,,,,,
the heart is moderately enlarged,,,1.0,,,,,,,,,,,
there is a right ij cordis with tip in the upper svc,1.0,,,,,,,,,,,,,
there is mild pulmonary vascular re-distribution but no definite infiltrates or effusion  .,1.0,,,,0.0,,,,,,0.0,,,
in comparison with study of the tip of the endotracheal tube now measures approximately 65 cm above the carina,1.0,,,,,,,,,,,,,1.0
nasogastric tube again courses beyond the lower margin of the image in the distal stomach,1.0,,,,,,,,,,,,,1.0
the left hemidiaphragm is not as sharply seen and there is increased opacification in the retrocardiac region consistent with volume loss in the left lower lobe and areas of plate-like atelectasis,,,,,1.0,,,,1.0,,,,,1.0
continued mild pulmonary vascular congestion  .,,,,,,-1.0,,,,,,,,
comparison is made to previous study from,1.0,,,,,,,,,,,,,
there is an endotracheal tube whose distal tip is 62 cm above the carina appropriately sited,1.0,,,,,,,,,,,,,1.0
there is a left-sided ij line with distal lead tip in the mid svc,1.0,,,,,,,,,,,,,1.0
there is a nasogastric tube whose tip and sideport are below the ge junction,1.0,,,,,,,,,,,,,1.0
there is a persistent left retrocardiac opacity,,,,,1.0,,,,,,,,,
there is some atelectasis at the left lung base,,,,,,,,,1.0,,,,,
there is improved aeration at the right lung base,1.0,,,,,,,,,,,,,
no pneumothoraces are seen  .,1.0,,,,,,,,,0.0,,,,
comparison is made to previous study from,1.0,,,,,,,,,,,,,
there is an endotracheal tube whose distal tip is 62 cm above the carina appropriately sited,1.0,,,,,,,,,,,,,1.0
there is a left-sided ij line with distal lead tip in the mid svc,1.0,,,,,,,,,,,,,1.0
there is a nasogastric tube whose tip and sideport are below the ge junction,1.0,,,,,,,,,,,,,1.0
there is a persistent left retrocardiac opacity,,,,,1.0,,,,,,,,,
there is some atelectasis at the left lung base,,,,,,,,,1.0,,,,,
there is improved aeration at the right lung base,1.0,,,,,,,,,,,,,
no pneumothoraces are seen  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
monitoring and support devices are constant,1.0,,,,,,,,,,,,,1.0
constant cardiomegaly with relatively extensive retrocardiac atelectasis and the potential presence of a small left pleural effusion,,,1.0,,,,,,1.0,,1.0,,,
mild pulmonary edema,,,,,,1.0,,,,,,,,
areas of atelectasis at the right lung base,,,,,,,,,1.0,,,,,
no newly occurred parenchymal opacities,1.0,,,,0.0,,,,,,,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
monitoring and support devices are constant,1.0,,,,,,,,,,,,,1.0
constant cardiomegaly with relatively extensive retrocardiac atelectasis and the potential presence of a small left pleural effusion,,,1.0,,,,,,1.0,,1.0,,,
mild pulmonary edema,,,,,,1.0,,,,,,,,
areas of atelectasis at the right lung base,,,,,,,,,1.0,,,,,
no newly occurred parenchymal opacities,1.0,,,,0.0,,,,,,,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
in comparison with study of the picc extends only to the left brachiocephalic vein before its junction with the superior vena cava,1.0,,,,,,,,,,,,,1.0
continued low lung volumes may account for some of the prominence of the transverse diameter of the heart,,,1.0,,,,,,,,,,,
bibasilar opacification most likely reflects atelectatic changes,,,,,1.0,,,,1.0,,,,,
possibility of supervening pneumonia would have to be considered in the appropriate clinical setting,,,,,,,,1.0,,,,,,
the pulmonary vascular congestion is less prominent than on the prior study  .,,,,,,-1.0,,,,,,,,
portable ap chest radiograph is obtained with the patient in the semi-erect position,1.0,,,,,,,,,,,,,
tracheostomy noted,,,,,,,,,,,,,,
cardiomediastinal silhouette is unchanged bulging of the pulmonary outflow tract reflects enlargement of pulmonary arteries and suggests underlying pulmonary arterial hypertension,,1.0,,,,,,,,,,,,
pulmonary edema has slightly improved compared to the prior study,,,,,,1.0,,,,,,,,
small right pleural effusion is unchanged,,,,,,,,,,,1.0,,,
again bibasilar opacifications are noted and are suggestive of atelectasis or consolidation  .,,,,,1.0,,-1.0,,-1.0,,,,,
as compared to the previous radiograph the monitoring and support devices are constant in position,1.0,,,,,,,,,,,,,1.0
the pre-existing right basal opacity with maximum in the infrahilar area is not substantially changed,,,,,1.0,,,,,,,,,
on the left there is decreased visibility of the left hemidiaphragm suggesting the appearance of either atelectasis or small left pleural effusion,,,,,,,,,-1.0,,-1.0,,,
unchanged moderate cardiomegaly,,,1.0,,,,,,,,,,,
the right costophrenic sinus is unremarkable  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph the monitoring and support devices are constant in position,1.0,,,,,,,,,,,,,1.0
the pre-existing right basal opacity with maximum in the infrahilar area is not substantially changed,,,,,1.0,,,,,,,,,
on the left there is decreased visibility of the left hemidiaphragm suggesting the appearance of either atelectasis or small left pleural effusion,,,,,,,,,-1.0,,-1.0,,,
unchanged moderate cardiomegaly,,,1.0,,,,,,,,,,,
the right costophrenic sinus is unremarkable  .,1.0,,,,,,,,,,,,,
an endotracheal tube ng tube and right upper extremity picc with its tip at the cavoatrial junction are unchanged,1.0,,,,,,,,,,,,,1.0
there is no change in left lower lobe opacity,,,,,1.0,,,,,,,,,
there is no large pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiac silhouette remains moderately enlarged mediastinal contours are notable for calcification of the aortic arch  .,,1.0,1.0,,,,,,,,,,,
comparison is made to the prior study performed two hours earlier,1.0,,,,,,,,,,,,,
interval placement of a nasogastric tube whose distal tip and sideport are below the gastroesophageal junction,1.0,,,,,,,,,,,,,1.0
endotracheal tube and right ij central line are in unchanged position,1.0,,,,,,,,,,,,,1.0
there is persistent cardiomegaly,,,1.0,,,,,,,,,,,
there is a left retrocardiac opacity,,,,,1.0,,,,,,,,,
there is prominence of the pulmonary vascular markings consistent with mild pulmonary edema,,,,,,1.0,,,,,,,,
there is some atelectasis at the left lung base  .,,,,,,,,,1.0,,,,,
single ap portable chest radiograph is obtained,1.0,,,,,,,,,,,,,
tracheostomy tube is present,,,,,,,,,,,,,,1.0
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
there is a hazy veil-like opacity in the right upper lung zone which may be consolidation atelectasis or artifact,,,,,1.0,,-1.0,,1.0,,,,,
heart size appears enlarged however this may be technical due to ap view,,,1.0,,,,,,,,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
the lungs are clear bilaterally with no areas of focal consolidation,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
patient is status post cabg,1.0,,,,,,,,,,,,,
cardiomegaly is stable,,,1.0,,,,,,,,,,,
mediastinal silhouette is within normal limits  .,1.0,0.0,,,,,,,,,,,,
the lungs are clear bilaterally with no areas of focal consolidation,1.0,,,,,,0.0,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
patient is status post cabg,1.0,,,,,,,,,,,,,
cardiomegaly is stable,,,1.0,,,,,,,,,,,
mediastinal silhouette is within normal limits  .,1.0,0.0,,,,,,,,,,,,
chest pa and lateral radiograph demonstrates unchanged cardiomediastinal and hilar contours,,-1.0,,,,,,,,,,,,
no overt pulmonary edema is evident though chronic mild interstitial abnormalities are stable,1.0,,,,,0.0,,,,,,,,
faint opacification projecting over the left mid lung may represent developing infectious process,,,,,1.0,,,-1.0,,,,,,
there is no definitive correlate on the lateral radiograph,1.0,,,,,,,,,,,,,
no pleural effusion or pneumothorax present,1.0,,,,,,,,,0.0,0.0,,,
mild separation of superior aspect of sternotomy line with intact sternotomy sutures  .,1.0,,,,,,,,,,,,,1.0
chest pa and lateral radiograph demonstrates unchanged cardiomediastinal and hilar contours,,-1.0,,,,,,,,,,,,
no overt pulmonary edema is evident though chronic mild interstitial abnormalities are stable,1.0,,,,,0.0,,,,,,,,
faint opacification projecting over the left mid lung may represent developing infectious process,,,,,1.0,,,-1.0,,,,,,
there is no definitive correlate on the lateral radiograph,1.0,,,,,,,,,,,,,
no pleural effusion or pneumothorax present,1.0,,,,,,,,,0.0,0.0,,,
mild separation of superior aspect of sternotomy line with intact sternotomy sutures  .,1.0,,,,,,,,,,,,,1.0
chest pa and lateral radiograph demonstrates unchanged cardiomediastinal and hilar contours,,-1.0,,,,,,,,,,,,
no overt pulmonary edema is evident though chronic mild interstitial abnormalities are stable,1.0,,,,,0.0,,,,,,,,
faint opacification projecting over the left mid lung may represent developing infectious process,,,,,1.0,,,-1.0,,,,,,
there is no definitive correlate on the lateral radiograph,1.0,,,,,,,,,,,,,
no pleural effusion or pneumothorax present,1.0,,,,,,,,,0.0,0.0,,,
mild separation of superior aspect of sternotomy line with intact sternotomy sutures  .,1.0,,,,,,,,,,,,,1.0
two images of the chest shows a small consolidation at the right base most consistent with pneumonia,,,,,,,1.0,1.0,,,,,,
there are no other consolidations,1.0,,,,,,0.0,,,,,,,
there is no evidence of interstitial edema,1.0,,,,,0.0,,,,,,,,
there are no pleural effusions,1.0,,,,,,,,,,0.0,,,
the heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
the mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
there are sternotomy wires in place  .,1.0,,,,,,,,,,,,,
two images of the chest shows a small consolidation at the right base most consistent with pneumonia,,,,,,,1.0,1.0,,,,,,
there are no other consolidations,1.0,,,,,,0.0,,,,,,,
there is no evidence of interstitial edema,1.0,,,,,0.0,,,,,,,,
there are no pleural effusions,1.0,,,,,,,,,,0.0,,,
the heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
the mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
there are sternotomy wires in place  .,1.0,,,,,,,,,,,,,
the lungs are well expanded and clear,1.0,,,,,,,,,,,,,
the cardiomediastinal silhouette hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion or pneumothorax is present,1.0,,,,,,,,,0.0,0.0,,,
sternal wires are intact  .,1.0,,,,,,,,,,,,,
the lungs are well expanded and clear,1.0,,,,,,,,,,,,,
the cardiomediastinal silhouette hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion or pneumothorax is present,1.0,,,,,,,,,0.0,0.0,,,
sternal wires are intact  .,1.0,,,,,,,,,,,,,
the previously seen right lower lobe opacification has decreased substantially,,,,,1.0,,,,,,,,,
there has also been a mild decrease in the amount of vascular engorgement suggesting improvement in mild biventricular heart failure,,,-1.0,,,1.0,,,,,,,,
in retrospect given the rapid change the opacification likely represented fluid overload,,,,,1.0,,,,,,,,,
the heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
the sternal wires are intact and midline,1.0,,,,,,,,,,,,,
there is longstanding midline lucency in the manubrium and upper body is due to incomplete sternal fusion there is no evidence of other unk complications,1.0,,,,,,,,,,,,,
a picc can be traced to the mid svc  .,1.0,,,,,,,,,,,,,1.0
the previously seen right lower lobe opacification has decreased substantially,,,,,1.0,,,,,,,,,
there has also been a mild decrease in the amount of vascular engorgement suggesting improvement in mild biventricular heart failure,,,-1.0,,,1.0,,,,,,,,
in retrospect given the rapid change the opacification likely represented fluid overload,,,,,1.0,,,,,,,,,
the heart size is at the upper limits of normal,1.0,,0.0,,,,,,,,,,,
the sternal wires are intact and midline,1.0,,,,,,,,,,,,,
there is longstanding midline lucency in the manubrium and upper body is due to incomplete sternal fusion there is no evidence of other unk complications,1.0,,,,,,,,,,,,,
a picc can be traced to the mid svc  .,1.0,,,,,,,,,,,,,1.0
both lungs are well expanded and clear,1.0,,,,,,,,,,,,,
there are no lung opacities concerning for pneumonia or pulmonary edema,,,,,0.0,-1.0,,-1.0,,,,,,
heart size is mildly enlarged and stable since,,,-1.0,,,,,,,,,,,
mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
there is no pleural effusion or pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
both lungs are well expanded and clear,1.0,,,,,,,,,,,,,
there are no lung opacities concerning for pneumonia or pulmonary edema,,,,,0.0,-1.0,,-1.0,,,,,,
heart size is mildly enlarged and stable since,,,-1.0,,,,,,,,,,,
mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
there is no pleural effusion or pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
both lungs are well expanded and clear,1.0,,,,,,,,,,,,,
there are no lung opacities concerning for pneumonia or pulmonary edema,,,,,0.0,-1.0,,-1.0,,,,,,
heart size is mildly enlarged and stable since,,,-1.0,,,,,,,,,,,
mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
there is no pleural effusion or pneumothorax  .,1.0,,,,,,,,,0.0,0.0,,,
as compared to the previous radiograph there is a subtle but new opacity at the right lung base in the medial aspect of the lung,,,,,1.0,,,,,,,,,
the opacities located in an area of bronchiectasis,,,,,1.0,,,,,,,,,
given the clinical presentation pneumonia must be suspected,,,,,,,,1.0,,,,,,
the referring physician,1.0,,,,,,,,,,,,,
was paged for notification at the time of dictation unk pm,1.0,,,,,,,,,,,,,
on and the findings were discussed over the telephone,1.0,,,,,,,,,,,,,
otherwise the radiograph is unchanged extensive overinflation with bronchiectasis but no pleural effusions or other parenchymal changes,1.0,,,,,,,,,,0.0,,,
normal size of the cardiac silhouette,1.0,,0.0,,,,,,,,,,,
unchanged position of the nasogastric tube  .,1.0,,,,,,,,,,,,,1.0
frontal and lateral views of the chest are obtained,1.0,,,,,,,,,,,,,
the lungs remain hyperinflated suggesting chronic obstructive pulmonary disease,,,,,,,,,,,,,,
no focal consolidation pleural effusion or evidence of pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are stable and unremarkable,1.0,0.0,,,,,,,,,,,,
hilar contours are also stable  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest are obtained,1.0,,,,,,,,,,,,,
the lungs remain hyperinflated suggesting chronic obstructive pulmonary disease,,,,,,,,,,,,,,
no focal consolidation pleural effusion or evidence of pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are stable and unremarkable,1.0,0.0,,,,,,,,,,,,
hilar contours are also stable  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest are obtained,1.0,,,,,,,,,,,,,
the lungs remain hyperinflated suggesting chronic obstructive pulmonary disease,,,,,,,,,,,,,,
no focal consolidation pleural effusion or evidence of pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiac and mediastinal silhouettes are stable and unremarkable,1.0,0.0,,,,,,,,,,,,
hilar contours are also stable  .,,-1.0,,,,,,,,,,,,
review of frontal and lateral views were remarkable for bilateral lower lung bronchiectasis with peribronchial opacities,,,,,1.0,,,,,,,,,
in the right lower and medial lung peribronchial opacities have improved since,,,,,1.0,,,,,,,,,
there are no new opacities,,,,,-1.0,,,,,,,,,
lungs are mildly hyperinflated,,,,,,,,,,,,,,
heart size mediastinal and hilar contours are normal,1.0,0.0,0.0,,,,,,,,,,,
no pleural effusion  .,1.0,,,,,,,,,,0.0,,,
review of frontal and lateral views were remarkable for bilateral lower lung bronchiectasis with peribronchial opacities,,,,,1.0,,,,,,,,,
in the right lower and medial lung peribronchial opacities have improved since,,,,,1.0,,,,,,,,,
there are no new opacities,,,,,-1.0,,,,,,,,,
lungs are mildly hyperinflated,,,,,,,,,,,,,,
heart size mediastinal and hilar contours are normal,1.0,0.0,0.0,,,,,,,,,,,
no pleural effusion  .,1.0,,,,,,,,,,0.0,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
moderate-to-severe overinflation with known areas of bronchiectasis and perifocal parenchymal opacities,,,,,1.0,,,,,,,,,
the opacities are unchanged in distribution and severity,,,,,1.0,,,,,,,,,
normal size of the cardiac silhouette,1.0,,0.0,,,,,,,,,,,
normal hilar and mediastinal structures,1.0,,,,,,,,,,,,,
no newly appeared focal parenchymal changes  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
moderate-to-severe overinflation with known areas of bronchiectasis and perifocal parenchymal opacities,,,,,1.0,,,,,,,,,
the opacities are unchanged in distribution and severity,,,,,1.0,,,,,,,,,
normal size of the cardiac silhouette,1.0,,0.0,,,,,,,,,,,
normal hilar and mediastinal structures,1.0,,,,,,,,,,,,,
no newly appeared focal parenchymal changes  .,1.0,,,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
heart and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
lungs are again noted to be hyperinflated  .,,,,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
heart and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
lungs are again noted to be hyperinflated  .,,,,,,,,,,,,,,
in comparison with the study of there is little overall change in the peribronchial thickening and impaction with extensive bibasilar bronchiectasis,,,,,1.0,,,,,,,,,
this is again extremely well seen on the lateral radiograph,1.0,,,,,,,,,,,,,
hyperexpansion of the lungs is consistent with emphysema and the cardiac size is normal,,,0.0,,,,,,,,,,,
no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no evidence of acute focal pneumonia  .,1.0,,,,,,,0.0,,,,,,
in comparison with the study of there is little overall change in the peribronchial thickening and impaction with extensive bibasilar bronchiectasis,,,,,1.0,,,,,,,,,
this is again extremely well seen on the lateral radiograph,1.0,,,,,,,,,,,,,
hyperexpansion of the lungs is consistent with emphysema and the cardiac size is normal,,,0.0,,,,,,,,,,,
no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no evidence of acute focal pneumonia  .,1.0,,,,,,,0.0,,,,,,
in comparison with the study of there is little overall change in the peribronchial thickening and impaction with extensive bibasilar bronchiectasis,,,,,1.0,,,,,,,,,
this is again extremely well seen on the lateral radiograph,1.0,,,,,,,,,,,,,
hyperexpansion of the lungs is consistent with emphysema and the cardiac size is normal,,,0.0,,,,,,,,,,,
no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no evidence of acute focal pneumonia  .,1.0,,,,,,,0.0,,,,,,
bilateral pigtail catheters are present at the lung bases,1.0,,,,,,,,,,,,,1.0
moderate right apical pneumothorax has minimally decreased since yesterday,,,,,,,,,,1.0,,,,
the maximum width at the apex measures 24 cm as compared to yesterday measuring 27 cm,1.0,,,,,,,,,,,,,
opacity at the right lung base which appeared on the yesterdays radiograph is more denser and is likely from an aspiration or atelectasis,,,,,1.0,,,,-1.0,,,,,
